name str,Address str,City str,Postcode str,phone str,Mn str,Tu str,We str,Th str,Fr str,Sa str,Su str,notification str,Location str,Borough str,Latitude str,Longitude str,CommunityBoard str,CouncilDistrict str,CensusTract str,BIN str,BBL str,NTA str
Ozone Park,91-41 63 Drive,Forest Hills,11358,(718) 723-4440,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.692284, -73.760112)",QUEENS   ,40.751319,-73.738088,10.0,28.0,106.0,4052750120.0,4117500057.0,Steinway                                                                   
Broad Channel,158-21 Jewel Avenue,Corona,11104,By apptmt only,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,9:00 AM - 9:00 PM,Closed - Closed,10:00 AM - 5:00 PM,Closed - Closed,,"(40.660152, -73.739488)",QUEENS   ,40.725815,-73.809754,10.0,20.0,739.0,4161350013.0,4000790030.0,Bayside-Bayside Hills                                                      
Far Rockaway,249-01 Northern Boulevard, Howard Beach,11691,(718) 634-1110,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.757361, -73.868331)",QUEENS   ,,-73.928757,7.0,,1347.0,4124950175.0,4057690010.0,Auburndale                                                                 
Rego Park,85-41 Forest Parkway,Flushing,11101,(718) 721-2462,9:00 AM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.707865, -73.795295)",QUEENS   ,40.745388,-73.739299,3.0,22.0,630.0,4097980006.0,4086930010.0,Jamaica                                                                    
Elmhurst,57-04 Marathon Parkway, Woodside,11379,(718) 784-3033,12:00 PM - 8:00 PM,9:00 AM - 9:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.695879, -73.790734)",QUEENS   ,40.738498,-73.824691,8.0,19.0,,4072040040.0,4027960008.0,Baisley Park                                                               
Cyber Center,312 Beach 54 Street,Far Rockaway,11004,(718) 261-6654,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.732272, -73.809902)",QUEENS   ,40.773525,-73.810893,13.0,26.0,88901.0,4057690010.0,4040420113.0,Pomonok-Flushing Heights-Hillcrest                                         
Middle Village,256-04 Union Turnpike,Flushing,11362,(718) 843-5950,9:00 AM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.707865, -73.795295)",QUEENS   ,40.757784,-73.846506,2.0,19.0,93402.0,4091130030.0,4072040040.0,Hollis                                                                     
Arverne,187-05 Union Turnpike,Flushing,11412,(718) 318-4943,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,Closed - Closed,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.728981, -73.781902)",QUEENS   ,40.728981,-73.74514,11.0,23.0,695.0,4086040085.0,4154810530.0,Ft. Totten-Bay Terrace-Clearview                                           
Queens Library for Teens,54-22 Skillman Avenue,Long Island City,11432,(718) 849-1010,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,Closed - Closed,Closed - Closed,,"(40.78864, -73.810893)",QUEENS   ,40.680318,-73.715036,11.0,30.0,132.0,4101710008.0,4034910001.0,Douglas Manor-Douglaston-Little Neck                                       
Sunnyside,21-45 31 Street,Maspeth,11366,(718) 459-5140,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,9:00 AM - 9:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,12:00 PM - 5:00 PM,,"(40.76278, -73.874016)",QUEENS   ,,-73.885533,8.0,27.0,258.0,,4031030043.0,Richmond Hill                                                              
Windsor Park,218-13 Linden Boulevard,South Ozone Park,11421,(718) 528-3535,10:00 AM - 5:00 PM,1:00 PM - 6:00 PM,Closed - Closed,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.757784, -73.829252)",QUEENS   ,40.672568,-73.877382,,31.0,,4006760050.0,4101710008.0,Glen Oaks-Floral Park-New Hyde Park                                        
Whitestone,43-06 Greenpoint Avenue,Long Island City,11436,(718) 831-8636,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,Closed - Closed,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.763998, -73.809754)",QUEENS   ,40.758859,-73.875748,3.0,24.0,65702.0,4036960047.0,4073330215.0,Old Astoria                                                                
North Forest Park,16-26 Cross Bay Boulevard,Long Island City,11354,(718) 359-8332,12:00 PM - 8:00 PM,Closed - Closed,10:00 AM - 6:00 PM,9:00 AM - 9:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.680318, -73.79203)",QUEENS   ,40.600838,-73.909496,13.0,28.0,103202.0,4081260087.0,4113190001.0,Bellerose                                                                  
Baisley Park,250-06 Hillside Avenue,Long Island City,11368,(718) 658-1680,9:00 AM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.740977, -73.921797)",QUEENS   ,40.743081,-73.753827,5.0,30.0,1333.0,4030577501.0,4022230054.0,Oakland Gardens                                                            
Poppenhusen,108-19 71 Avenue,"10-43 41 Ave., LIC",11417,(718) 529-1660,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.710913, -73.853662)",QUEENS   ,40.707865,-73.762191,4.0,30.0,623.0,4064050050.0,4092640056.0,Hunters Point-Sunnyside-West Maspeth                                       
East Flushing,128-16 Rockaway Boulevard,Jamaica,11102,(718) 937-2790,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,9:00 AM - 9:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,12:00 PM - 5:00 PM,,"(40.725815, -73.820989)",QUEENS   ,40.750871,-73.847111,12.0,26.0,566.0,4097980006.0,4043430110.0,St. Albans                                                                 
Broadway,92-24 Rockaway Boulevard,Briarwood,11434,(718) 990-0700,9:00 AM - 8:00 PM,9:00 AM - 9:00 PM,10:00 AM - 6:00 PM,9:00 AM - 7:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.745388, -73.715036)",QUEENS   ,40.74172,-73.843378,7.0,23.0,1479.0,,4052750120.0,Flushing                                                                   
East Elmhurst,116-15 Rockaway Beach Boulevard,Bayside,11419,(718) 728-1965,9:00 AM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.71258, -73.880885)",QUEENS   ,40.771345,-73.861812,12.0,19.0,460.0,4001730016.0,4109070030.0,Murray Hill                                                                
Court Square,40-20 Broadway,Long Island City,11103,(718) 528-8196,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.735403, -73.717266)",QUEENS   ,40.783103,-73.770994,12.0,25.0,33402.0,4005400030.0,4135490007.0,
Auburndale,169-09 137 Avenue,Jamaica,11368,(718) 271-1020,9:00 AM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.745524, -73.90982)",QUEENS   ,40.660152,,8.0,23.0,818.0,4047170025.0,,Springfield Gardens North                                                  
Kew Gardens Hills,86-01 Broadway,Flushing,11378,(718) 423-7004,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,Closed - Closed,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.74172, -73.782521)",QUEENS   ,40.785984,-73.853662,6.0,,455.0,4135490007.0,4030577501.0,Queensboro Hill                                                            
Fresh Meadows,20-12 Madison Street,Flushing,11433,(718) 278-2220,9:00 AM - 9:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.687273, -73.824691)",QUEENS   ,40.738027,-73.777013,8.0,21.0,363.0,4032070022.0,4071170200.0,South Jamaica                                                              
Hollis,204-01 Hollis Avenue,Jamaica,11372,By apptmt only,2:30 PM - 6:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,Closed - Closed,Closed - Closed,,"(40.719914, -73.762191)",QUEENS   ,40.719914,-73.782521,,20.0,283.0,4092640056.0,,Forest Hills                                                               
Queensbridge,14-01 Astoria Boulevard,Elmhurst,11432,(718) 461-1616,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,2:30 PM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.777105, -73.909496)",QUEENS   ,40.604487,-73.752641,5.0,28.0,94203.0,4097980006.0,4013750001.0,
Forest Hills,121-23 14 Avenue,College Point,11374,(718) 229-1834,9:00 AM - 9:00 PM,Closed - Closed,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,,QUEENS   ,40.710913,-73.795295,1.0,32.0,460.0,4122040099.0,4097980006.0,Kew Gardens Hills                                                          
Woodhaven,98-30 57 Avenue, Glen Oaks,11360,(718) 845-3127,9:00 AM - 8:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.681283, -73.847111)",QUEENS   ,40.763998,-73.841928,5.0,32.0,403.0,4077720001.0,4016950039.0,Jamaica Estates-Holliswood                                                 
Rochdale Village,29-42 Union Street,Cambria Heights,11357,(718) 359-1102,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.773525, -73.796552)",QUEENS   ,40.681283,-73.902867,9.0,27.0,853.0,4154810530.0,4105320120.0,East Elmhurst                                                              
Queens Village,92-06 156 Avenue,Whitestone,11105,(718) 465-7355,9:00 AM - 8:00 PM,1:00 PM - 6:00 PM,9:00 AM - 9:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.672568, -73.770994)",QUEENS   ,40.78864,-73.795295,2.0,26.0,589.0,4088560085.0,4064050050.0,Jamaica                                                                    
Central Library- The Archives,89-11 Merrick Boulevard,Rosedale,11692,(718) 352-2027,9:00 AM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.677059, -73.74514)",QUEENS   ,40.694619,-73.809585,14.0,29.0,152901.0,4117500057.0,4067900022.0,Hunters Point-Sunnyside-West Maspeth                                       
Jackson Heights,37-44 21 Street,Bellerose,11365,(718) 990-0700,12:00 PM - 8:00 PM,Closed - Closed,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,12:00 PM - 5:00 PM,,"(40.707865, -73.795295)",QUEENS   ,40.707865,-73.868331,3.0,27.0,43.0,4131050007.0,4161350013.0,Briarwood-Jamaica Hills                                                    
Queensboro Hill,78-60 73 Place,South Hollis,11385,(718) 326-1390,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.707865, -73.795295)",QUEENS   ,40.701022,-73.815797,12.0,19.0,1017.0,4050430011.0,4036960047.0,Rego Park                                                                  
Corona,151-10 14 Road,Rego Park,11365,(718) 268-7934,Closed - Closed,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,9:00 AM - 7:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.757826, -73.938771)",QUEENS   ,40.695879,-73.921797,1.0,32.0,77907.0,4071170200.0,4096510025.0,Rosedale                                                                   
Pomonok,134-26 225 Street,Corona,11693,(718) 429-4700,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.71014, -73.819621)",QUEENS   ,40.76795,-73.755509,13.0,32.0,122701.0,4012810048.0,4131050007.0,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel                      
Glendale,100-01 Northern Boulevard,"35-32 21 St., LIC",11101,(718) 752-3700,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.726991, -73.864371)",QUEENS   ,40.69554,-73.784804,8.0,21.0,83.0,,4106210012.0,Woodside                                                                   
Woodside,214-20 Northern Boulevard,Laurelton,11361,(718) 454-7272,9:00 AM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,Closed - Closed,Closed - Closed,,"(40.664069, -73.841928)",QUEENS   ,40.745524,-73.795295,2.0,20.0,353.0,4067900022.0,4124950175.0,Queensbridge-Ravenswood-Long Island City                                   
