dataset,algorithm,fd,mu_plus,rfi_prime_plus,g3_prime,is_key,lhs_size,lhs_uniqueness
threshold,pyro,['identif']->clear-g,1.0,1.0,1.0,True,-,-
threshold,pyro,['identif']->t-or-d,1.0,1.0,1.0,True,-,-
threshold,pyro,['identif']->location,1.0,1.0,1.0,True,-,-
threshold,pyro,['identif']->lanes,1.0,1.0,1.0,True,-,-
threshold,pyro,['identif']->type,1.0,1.0,1.0,True,-,-
threshold,pyro,['identif']->span,1.0,1.0,1.0,True,-,-
threshold,pyro,['identif']->rel-l,1.0,1.0,1.0,True,-,-
threshold,pyro,['identif']->length,1.0,1.0,1.0,True,-,-
threshold,pyro,['erected']->identif,0.0,6.441623239198874e-13,0.0,False,1,0.6481481481481481
threshold,pyro,['identif']->river,1.0,1.0,1.0,True,-,-
threshold,pyro,['identif']->purpose,1.0,1.0,1.0,True,-,-
threshold,pyro,['identif']->erected,1.0,1.0,1.0,True,-,-
threshold,pyro,['erected']->purpose,0.5641630051481259,0.575587035313866,0.8157894736842105,False,1,0.6481481481481481
threshold,pyro,['location']->river,1.0,1.0,1.0,False,1,0.5092592592592593
threshold,pyro,['erected']->lanes,0.20339158308344507,0.19570471731441802,0.5526315789473685,False,1,0.6481481481481481
threshold,pyro,['location']->identif,0.0,0.0,0.0,False,1,0.5092592592592593
threshold,pyro,['location']->purpose,0.5039270431237866,0.49060104956470557,0.8113207547169812,False,1,0.5092592592592593
threshold,pyro,['erected']->length,0.0,0.0,0.02631578947368421,False,1,0.6481481481481481
threshold,pyro,['erected']->river,0.0,0.0,0.39473684210526316,False,1,0.6481481481481481
threshold,pyro,['length']->identif,0.0,4.4204259371879e-13,0.0,False,1,0.6018518518518519
threshold,pyro,['erected']->t-or-d,0.16716085989621832,0.18899405802476638,0.7631578947368421,False,1,0.6481481481481481
threshold,pyro,['location']->lanes,0.0,0.0,0.39622641509433965,False,1,0.5092592592592593
threshold,pyro,['location']->erected,0.0,0.0,0.0,False,1,0.5092592592592593
threshold,pyro,['length']->purpose,0.0,0.0,0.5581395348837209,False,1,0.6018518518518519
threshold,pyro,['location']->length,0.1043718190253915,0.1349790458299362,0.20754716981132076,False,1,0.5092592592592593
threshold,pyro,['length']->river,0.06642022508893453,0.04977394233963673,0.5116279069767442,False,1,0.6018518518518519
threshold,pyro,['length']->lanes,0.19154096691447586,0.22701456561989342,0.6511627906976745,False,1,0.6018518518518519
threshold,pyro,['length']->erected,0.0,0.0,0.023255813953488372,False,1,0.6018518518518519
threshold,pyro,['type']->purpose,0.22521802221426024,0.2528931539810257,0.72,False,1,0.07407407407407407
threshold,pyro,['location']->t-or-d,0.17728762512179952,0.16732330521340347,0.7547169811320755,False,1,0.5092592592592593
threshold,pyro,['erected']->location,0.0,0.0,0.0,False,1,0.6481481481481481
threshold,pyro,['span']->purpose,0.04824931981243896,0.08739463206272977,0.6730769230769231,False,1,0.037037037037037035
threshold,pyro,['erected']->span,0.328025037653203,0.3605764198473722,0.6052631578947368,False,1,0.6481481481481481
threshold,pyro,['type']->lanes,0.1923162093309443,0.2345460966963947,0.63,False,1,0.07407407407407407
threshold,pyro,['length']->t-or-d,0.22116679404592843,0.19910187552351846,0.8372093023255814,False,1,0.6018518518518519
threshold,pyro,['rel-l']->purpose,0.042131633794491474,0.058294552817904244,0.6730769230769231,False,1,0.037037037037037035
threshold,pyro,['length']->location,0.0478132349098509,0.09062557404852817,0.16279069767441862,False,1,0.6018518518518519
threshold,pyro,['span']->lanes,0.029023207396451478,0.08567610090046635,0.5480769230769231,False,1,0.037037037037037035
threshold,pyro,['location']->span,0.30259217246144887,0.31304070501655423,0.6037735849056604,False,1,0.5092592592592593
threshold,pyro,['type']->t-or-d,0.38757175219147033,0.374037359094158,0.88,False,1,0.07407407407407407
threshold,pyro,['lanes']->purpose,0.1950994497809222,0.2708324658163048,0.6796116504854369,False,1,0.046296296296296294
threshold,pyro,['length']->span,0.10238297300762578,0.11412933167344717,0.5348837209302325,False,1,0.6018518518518519
threshold,pyro,['erected']->rel-l,0.19188811188811183,0.16287898208280746,0.5526315789473685,False,1,0.6481481481481481
threshold,pyro,['lanes']->t-or-d,0.08764442664958016,0.14548810332018292,0.7961165048543689,False,1,0.046296296296296294
threshold,pyro,['river']->purpose,0.0,0.004058462610387572,0.6442307692307693,False,1,0.037037037037037035
threshold,pyro,['type']->span,0.1163835386194273,0.16348840251705554,0.54,False,1,0.07407407407407407
threshold,pyro,['span']->t-or-d,0.055952314029313555,0.10693398909539782,0.7980769230769231,False,1,0.037037037037037035
threshold,pyro,['location']->rel-l,0.1959540836521967,0.17597257864645696,0.5660377358490566,False,1,0.5092592592592593
threshold,pyro,['type']->river,0.04814526477877068,0.036575008122674516,0.51,False,1,0.07407407407407407
threshold,pyro,['river']->t-or-d,0.008059560795487863,0.0375583773998271,0.7980769230769231,False,1,0.037037037037037035
threshold,pyro,['length']->rel-l,0.05977817531305896,0.09571460937926757,0.5581395348837209,False,1,0.6018518518518519
threshold,pyro,['span']->river,0.07664515852185338,0.1255772874899575,0.5192307692307693,False,1,0.037037037037037035
threshold,pyro,['rel-l']->t-or-d,0.06892504451999304,0.10020620012260958,0.7980769230769231,False,1,0.037037037037037035
threshold,pyro,['type']->rel-l,0.2510667670790744,0.25744820028193605,0.66,False,1,0.07407407407407407
threshold,pyro,['purpose']->t-or-d,0.0,0.0,0.7980769230769231,False,1,0.037037037037037035
threshold,pyro,['span']->rel-l,0.20106179778131883,0.20910333393630906,0.5865384615384616,False,1,0.037037037037037035
threshold,pyro,['material']->t-or-d,0.08708017334777862,0.09938403337734011,0.8173076923076923,False,1,0.037037037037037035
threshold,pyro,['erected']->clear-g,0.50244557729402,0.49118629121520174,0.8421052631578947,False,1,0.6481481481481481
threshold,pyro,['clear-g']->t-or-d,0.008774699478924841,0.03215290970136157,0.8,False,1,0.027777777777777776
threshold,pyro,['erected']->type,0.2925942032392277,0.27461947958574734,0.5,False,1,0.6481481481481481
threshold,pyro,['location']->type,0.08542307465428445,0.06380233397451668,0.3584905660377358,False,1,0.5092592592592593
threshold,pyro,['location']->clear-g,0.0,0.0,0.6226415094339622,False,1,0.5092592592592593
threshold,pyro,"['river', 'type']->length",0.028209704463906915,0.06486940943323383,0.22093023255813954,False,2,0.2037037037037037
threshold,pyro,['length']->type,0.19114014769882737,0.22353903876903,0.5116279069767442,False,1,0.6018518518518519
threshold,pyro,['length']->clear-g,0.0,0.0,0.6511627906976745,False,1,0.6018518518518519
threshold,pyro,"['river', 'type']->location",0.045400973879138884,0.08603522678943351,0.10465116279069768,False,2,0.2037037037037037
threshold,pyro,"['lanes', 'river']->rel-l",0.13661300401725918,0.12617844673161766,0.5638297872340425,False,2,0.12962962962962962
threshold,pyro,"['material', 't-or-d']->purpose",0.05371949186493841,0.08083973284522139,0.6633663366336634,False,2,0.06481481481481481
threshold,pyro,"['rel-l', 'river']->span",0.2331232603739548,0.2792709666561149,0.6105263157894737,False,2,0.12037037037037036
threshold,pyro,"['rel-l', 'river']->lanes",0.11065743509485493,0.12237842373169963,0.5684210526315789,False,2,0.12037037037037036
threshold,pyro,"['river', 'type']->erected",0.02164037092951665,0.02839393935125483,0.09302325581395349,False,2,0.2037037037037037
threshold,pyro,['type']->clear-g,0.4540264571815622,0.36730721572190905,0.86,False,1,0.07407407407407407
threshold,pyro,['rel-l']->clear-g,0.2578153860041388,0.23535002156470736,0.7884615384615384,False,1,0.037037037037037035
threshold,pyro,"['clear-g', 't-or-d']->purpose",0.0,0.028352553912874213,0.6372549019607843,False,2,0.05555555555555555
threshold,pyro,['material']->clear-g,0.4873268801787717,0.38819101664255873,0.8653846153846154,False,1,0.037037037037037035
threshold,pyro,['span']->clear-g,0.14483070967484601,0.10810050316464484,0.7788461538461539,False,1,0.037037037037037035
threshold,pyro,"['span', 'type']->length",0.07053647678532571,0.062315987062965456,0.2247191011235955,False,2,0.17592592592592593
threshold,pyro,['river']->clear-g,0.04558370738843964,0.057013433446777305,0.7307692307692307,False,1,0.037037037037037035
threshold,pyro,"['material', 'river']->rel-l",0.22719171314986186,0.20838276549064208,0.6597938144329897,False,2,0.10185185185185185
threshold,pyro,['lanes']->clear-g,0.13754903587772715,0.13910747291345235,0.7669902912621359,False,1,0.046296296296296294
threshold,pyro,"['lanes', 'rel-l']->river",0.037704026944103464,0.06922823167590254,0.4742268041237113,False,2,0.10185185185185185
threshold,pyro,"['river', 'type']->identif",0.0,9.569117842828666e-15,0.0,False,2,0.2037037037037037
threshold,pyro,"['lanes', 'river']->span",0.24859348909247514,0.2212689554387897,0.6595744680851063,False,2,0.12962962962962962
threshold,pyro,"['span', 'type']->location",0.030082133614081852,0.038442101336265924,0.10112359550561797,False,2,0.17592592592592593
threshold,pyro,"['lanes', 'span']->type",0.1527843902602769,0.19185943880998826,0.46808510638297873,False,2,0.12962962962962962
threshold,pyro,['purpose']->clear-g,0.0930761174224165,0.06260999459352666,0.7692307692307693,False,1,0.037037037037037035
threshold,pyro,['identif']->material,1.0,1.0,1.0,True,-,-
threshold,pyro,"['purpose', 'river']->lanes",0.15397428490678577,0.18740351088512963,0.6020408163265306,False,2,0.09259259259259259
threshold,pyro,"['lanes', 'material']->rel-l",0.2498643252789311,0.23903479051784784,0.6597938144329897,False,2,0.10185185185185185
threshold,pyro,"['span', 'type']->erected",0.015908145877898905,0.044200826154936514,0.07865168539325842,False,2,0.17592592592592593
threshold,pyro,"['purpose', 'rel-l']->lanes",0.18091240521317553,0.2377961977524184,0.5918367346938775,False,2,0.09259259259259259
threshold,pyro,"['river', 'span']->location",0.06628369776230647,0.1350910693817337,0.14583333333333334,False,2,0.1111111111111111
threshold,pyro,"['lanes', 'purpose']->river",0.009882024081063978,0.02812032267560157,0.46464646464646464,False,2,0.08333333333333333
threshold,pyro,"['lanes', 'river']->type",0.16914490273441352,0.21464864668704045,0.4787234042553192,False,2,0.12962962962962962
threshold,pyro,"['purpose', 'river']->rel-l",0.05567132118630602,0.06527730940334621,0.5306122448979592,False,2,0.09259259259259259
threshold,pyro,"['material', 'river']->lanes",0.08052221579629482,0.10666037713085622,0.5670103092783505,False,2,0.10185185185185185
threshold,pyro,"['river', 'span']->erected",0.007857068245248233,0.021516001544971367,0.0625,False,2,0.1111111111111111
threshold,pyro,"['clear-g', 'river']->lanes",0.07668351503095705,0.11013395614817441,0.57,False,2,0.07407407407407407
threshold,pyro,"['purpose', 'rel-l']->river",0.01938794656968168,0.026463588217734275,0.45918367346938777,False,2,0.09259259259259259
threshold,pyro,"['lanes', 'rel-l']->span",0.17599814529684898,0.2396627516747618,0.5567010309278351,False,2,0.10185185185185185
threshold,pyro,"['lanes', 'rel-l']->type",0.22670505571745525,0.2800249564645433,0.5360824742268041,False,2,0.10185185185185185
threshold,pyro,"['river', 'span']->length",0.07332284156982105,0.010884568499979983,0.20833333333333334,False,2,0.1111111111111111
threshold,pyro,"['rel-l', 'river']->type",0.13961393769484787,0.16081497067476808,0.49473684210526314,False,2,0.12037037037037036
threshold,pyro,"['rel-l', 'type']->location",0.011503500762880758,0.018534359180680658,0.07692307692307693,False,2,0.1574074074074074
threshold,pyro,"['river', 'span']->type",0.09983671165314945,0.1147886977891901,0.4375,False,2,0.1111111111111111
threshold,pyro,['erected']->material,0.6984279421282276,0.716209437323048,0.868421052631579,False,1,0.6481481481481481
threshold,pyro,['location']->material,0.0,0.0,0.5283018867924528,False,1,0.5092592592592593
threshold,pyro,"['lanes', 'purpose']->rel-l",0.1096768884008551,0.11903760953059102,0.5454545454545454,False,2,0.08333333333333333
threshold,pyro,"['lanes', 'material']->river",0.02406768573338891,0.04774574654973799,0.4742268041237113,False,2,0.10185185185185185
threshold,pyro,['length']->material,0.0,0.0,0.4418604651162791,False,1,0.6018518518518519
threshold,pyro,"['material', 'rel-l']->lanes",0.08127261763058213,0.1281334899683473,0.5612244897959183,False,2,0.09259259259259259
threshold,pyro,['type']->material,0.5999509574122821,0.6517490465739407,0.89,False,1,0.07407407407407407
threshold,pyro,"['span', 'type']->identif",0.0,1.586969946634514e-14,0.0,False,2,0.17592592592592593
threshold,pyro,"['rel-l', 'river']->location",0.032328578429258514,0.12247564141958127,0.10526315789473684,False,2,0.12037037037037036
threshold,pyro,['rel-l']->material,0.24949353809959163,0.27534834387881746,0.7692307692307693,False,1,0.037037037037037035
threshold,pyro,['span']->material,0.2642521433888567,0.28777132452286835,0.7692307692307693,False,1,0.037037037037037035
threshold,pyro,"['material', 'purpose']->rel-l",0.24745199578332822,0.2213228579367773,0.6836734693877551,False,2,0.09259259259259259
threshold,pyro,"['rel-l', 'type']->erected",0.028488459739865246,0.045385353155746634,0.0989010989010989,False,2,0.1574074074074074
threshold,pyro,"['purpose', 'river']->span",0.16844450274625034,0.1627833828150999,0.5816326530612245,False,2,0.09259259259259259
threshold,pyro,['clear-g']->material,0.3271496571655237,0.3004580838965377,0.8095238095238095,False,1,0.027777777777777776
threshold,pyro,['river']->material,0.027714688290451428,0.04583005644583568,0.7211538461538461,False,1,0.037037037037037035
threshold,pyro,"['river', 'span']->identif",0.0,0.0,0.0,False,2,0.1111111111111111
threshold,pyro,"['rel-l', 'span']->type",0.16626872331105624,0.2401386529808079,0.4536082474226804,False,2,0.10185185185185185
threshold,pyro,['lanes']->material,0.11837873792273668,0.15510535036940043,0.7475728155339806,False,1,0.046296296296296294
threshold,pyro,"['lanes', 'type']->length",0.038185302128457166,0.08780378382095401,0.21839080459770116,False,2,0.19444444444444445
threshold,pyro,"['clear-g', 'material', 'purpose']->lanes",0.23258565130094977,0.26207023342919133,0.6195652173913043,False,3,0.14814814814814814
threshold,pyro,"['rel-l', 'river']->erected",0.005305137402391247,0.005164708461617555,0.06315789473684211,False,2,0.12037037037037036
threshold,pyro,"['rel-l', 'span']->location",0.01977425646142328,0.04814589933927884,0.09278350515463918,False,2,0.10185185185185185
threshold,pyro,"['purpose', 'rel-l']->span",0.15615520487981827,0.20699077895919724,0.5510204081632653,False,2,0.09259259259259259
threshold,pyro,"['rel-l', 'span']->erected",0.006407118557262059,0.02576198232692289,0.061855670103092786,False,2,0.10185185185185185
threshold,pyro,"['purpose', 't-or-d']->material",0.11254552666690665,0.1505630111971592,0.7474747474747475,False,2,0.08333333333333333
threshold,pyro,"['clear-g', 'lanes']->rel-l",0.24344093546007406,0.21740399770988003,0.6767676767676768,False,2,0.08333333333333333
threshold,pyro,"['clear-g', 'rel-l']->lanes",0.059682669281322265,0.1261376432745795,0.5510204081632653,False,2,0.09259259259259259
threshold,pyro,"['lanes', 'purpose']->span",0.04989594746963655,0.08324432278041749,0.494949494949495,False,2,0.08333333333333333
threshold,pyro,"['lanes', 'span']->length",0.07890173014669633,0.06054242450435867,0.22340425531914893,False,2,0.12962962962962962
threshold,pyro,"['material', 'purpose']->lanes",0.20840340247620437,0.2404652025238908,0.6020408163265306,False,2,0.09259259259259259
threshold,pyro,"['material', 'rel-l']->river",0.043425239327750886,0.038347309102440885,0.47959183673469385,False,2,0.09259259259259259
threshold,pyro,"['lanes', 'type']->location",0.0033221420106206434,0.0,0.04597701149425287,False,2,0.19444444444444445
threshold,pyro,"['rel-l', 'type']->identif",0.0,0.0,0.0,False,2,0.1574074074074074
threshold,pyro,"['lanes', 'material']->type",0.34789355237111275,0.3756335138964439,0.6288659793814433,False,2,0.10185185185185185
threshold,pyro,"['clear-g', 'river']->rel-l",0.1891044084947311,0.16477061102241342,0.66,False,2,0.07407407407407407
threshold,pyro,"['lanes', 'river']->length",0.018559000295135686,0.036639373884527364,0.2127659574468085,False,2,0.12962962962962962
threshold,pyro,"['material', 'purpose']->river",0.014416782697638686,0.0,0.46938775510204084,False,2,0.09259259259259259
threshold,pyro,"['lanes', 'type']->erected",0.016315759142196518,0.032299637856423265,0.08045977011494253,False,2,0.19444444444444445
threshold,pyro,"['purpose', 'river']->type",0.10454448091307678,0.09567431437047072,0.40816326530612246,False,2,0.09259259259259259
threshold,pyro,"['river', 't-or-d']->lanes",0.09811665896826893,0.09019255724223611,0.6122448979591837,False,2,0.09259259259259259
threshold,pyro,"['rel-l', 'river']->identif",0.0,1.0671579848915728e-14,0.0,False,2,0.12037037037037036
threshold,pyro,"['lanes', 'river']->location",0.015921443709887906,0.06609660312830817,0.07446808510638298,False,2,0.12962962962962962
threshold,pyro,"['lanes', 'type']->identif",0.0,0.0,0.0,False,2,0.19444444444444445
threshold,pyro,"['material', 'river']->type",0.21886406452305263,0.25399755559491494,0.5257731958762887,False,2,0.10185185185185185
threshold,pyro,"['lanes', 'span']->erected",0.013291239852559311,0.049608773706585674,0.07446808510638298,False,2,0.12962962962962962
threshold,pyro,"['rel-l', 'type']->length",0.05767593062675047,0.09786873597582557,0.24175824175824176,False,2,0.1574074074074074
